Participant.ID,Sender.ID,Message,Participant.EI,Sender.Warmth,Likability
1,19,T,5.334987436212589,1.9343027958594095,11.42791823928096
1,11,F,5.334987436212589,2.0865005330917303,7.057025348848775
1,7,T,5.334987436212589,6.650491256360027,11.342723378072424
1,2,F,5.334987436212589,6.454925077252041,8.563117083706855
1,13,T,5.334987436212589,2.0305506996069926,10.798014758795174
1,15,F,5.334987436212589,2.1285767576193675,7.286101836589063
2,13,T,4.122542692999248,2.0305506996069926,9.623816208840932
2,7,F,4.122542692999248,6.650491256360027,8.220053327994128
2,5,T,4.122542692999248,5.99578719126047,11.850510963008638
2,1,F,4.122542692999248,5.3498806956261324,7.465058365305877
2,6,T,4.122542692999248,6.930122604838301,11.679322539941348
2,20,F,4.122542692999248,2.068712519055972,5.458753232138131
3,5,T,4.475039781733381,5.99578719126047,12.057937203842537
3,1,F,4.475039781733381,5.3498806956261324,7.426520497997538
3,8,T,4.475039781733381,5.139772642722912,10.533964577632288
3,2,F,4.475039781733381,6.454925077252041,8.170228788821088
3,18,T,4.475039781733381,1.7518660336540328,10.027956421814608
3,13,F,4.475039781733381,2.0305506996069926,7.114091780971958
4,16,T,5.6770705294724895,1.8454745416194904,9.477762168469166
4,1,F,5.6770705294724895,5.3498806956261324,7.041318343964982
4,9,T,5.6770705294724895,5.4771287994154365,10.360226435759634
4,10,F,5.6770705294724895,5.374556507298775,6.840883588502214
4,12,T,5.6770705294724895,2.247188086376927,8.092856487124127
4,19,F,5.6770705294724895,1.9343027958594095,6.832959982166026
5,13,T,5.50843179402246,2.0305506996069926,10.580484133438716
5,9,F,5.50843179402246,5.4771287994154365,9.485480849670905
5,11,T,5.50843179402246,2.0865005330917303,9.295633929295121
5,19,F,5.50843179402246,1.9343027958594095,7.847006197122621
5,18,T,5.50843179402246,1.7518660336540328,10.366811458943243
5,12,F,5.50843179402246,2.247188086376927,6.68008258380084
6,14,T,6.381527923569043,1.945853331517795,9.589277737247752
6,19,F,6.381527923569043,1.9343027958594095,7.938579225558278
6,17,T,6.381527923569043,1.142822454582046,10.739983236178492
6,16,F,6.381527923569043,1.8454745416194904,6.972884993187562
6,18,T,6.381527923569043,1.7518660336540328,10.193680535658887
6,6,F,6.381527923569043,6.930122604838301,9.1423897870227009
7,5,T,5.091682004475099,5.99578719126047,12.291959079195896
7,13,F,5.091682004475099,2.0305506996069926,7.153502720849201
7,20,T,5.091682004475099,2.068712519055972,9.154050646751632
7,1,F,5.091682004475099,5.3498806956261324,8.09931022567293
7,10,T,5.091682004475099,5.374556507298775,11.181826398536241
7,16,F,5.091682004475099,1.8454745416194904,6.459387929256159
8,2,T,5.095104344210821,6.454925077252041,10.344191604646825
8,17,F,5.095104344210821,1.142822454582046,5.864347446875923
8,7,T,5.095104344210821,6.650491256360027,10.582349364877743
8,1,F,5.095104344210821,5.3498806956261324,7.055188232688863
8,13,T,5.095104344210821,2.0305506996069926,9.895813410318475
8,20,F,5.095104344210821,2.068712519055972,5.735412578487435
9,3,T,5.939923165886458,6.526935202143802,11.933753406361493
9,4,F,5.939923165886458,6.269596867269851,8.174851859555107
9,19,T,5.939923165886458,1.9343027958594095,10.6479513115693
9,9,F,5.939923165886458,5.4771287994154365,9.060336920757774
9,17,T,5.939923165886458,1.142822454582046,10.131407647707938
9,2,F,5.939923165886458,6.454925077252041,8.288606468853505
10,7,T,6.01164530548072,6.650491256360027,10.851339090835085
10,14,F,6.01164530548072,1.945853331517795,5.812848408598135
10,9,T,6.01164530548072,5.4771287994154365,10.59628171316074
10,13,F,6.01164530548072,2.0305506996069926,6.867271857973724
10,6,T,6.01164530548072,6.930122604838301,12.019006074897739
10,8,F,6.01164530548072,5.139772642722912,7.833779112052243
11,17,T,4.584324731533154,1.142822454582046,10.08078671428914
11,6,F,4.584324731533154,6.930122604838301,8.738582782824793
11,11,T,4.584324731533154,2.0865005330917303,9.076874757776658
11,16,F,4.584324731533154,1.8454745416194904,6.462887773445711
11,2,T,4.584324731533154,6.454925077252041,10.75349660807109
11,4,F,4.584324731533154,6.269596867269851,8.4879820875013
12,18,T,4.35889002185605,1.7518660336540328,9.82062844492693
12,19,F,4.35889002185605,1.9343027958594095,7.536640545954316
12,7,T,4.35889002185605,6.650491256360027,11.013956486698875
12,13,F,4.35889002185605,2.0305506996069926,6.7431001607820065
12,10,T,4.35889002185605,5.374556507298775,10.73609698673617
12,6,F,4.35889002185605,6.930122604838301,8.705919642829967
13,11,T,5.681853751361445,2.0865005330917303,9.247426182214305
13,1,F,5.681853751361445,5.3498806956261324,8.217186297501657
13,7,T,5.681853751361445,6.650491256360027,11.34747056828921
13,9,F,5.681853751361445,5.4771287994154365,9.592900122676468
13,16,T,5.681853751361445,1.8454745416194904,10.765984062240486
13,14,F,5.681853751361445,1.945853331517795,6.790433330474385
14,14,T,4.4279535759819275,1.945853331517795,8.848228639978293
14,7,F,4.4279535759819275,6.650491256360027,8.59269748848777
14,5,T,4.4279535759819275,5.99578719126047,12.093350229810712
